,Unnamed: 0,Survived,Pclass,Fancy,Male,Age,Fare,Known,familyMembers,E_C,E_Q,E_S
115,116,0,3,0,1,70.5,7.75,0,0,0,1,0
116,117,0,2,0,1,29.0,21.0,0,1,0,0,1
117,118,0,1,0,1,24.0,247.5208,1,1,1,0,0
118,119,0,3,0,0,2.0,31.275,0,6,0,0,1
119,120,0,2,0,1,21.0,73.5,0,2,0,0,1
120,121,0,3,0,1,30.0,8.05,0,0,0,0,1
121,122,0,2,0,1,32.5,30.0708,0,1,1,0,0
122,123,1,2,0,0,32.5,13.0,1,0,0,0,1
123,124,0,1,0,1,54.0,77.2875,1,1,0,0,1
124,125,1,3,1,1,12.0,11.2417,0,1,1,0,0
125,126,0,3,0,1,30.0,7.75,0,0,0,1,0
126,127,1,3,0,1,24.0,7.1417,0,0,0,0,1
127,128,1,3,0,0,30.0,22.3583,1,2,1,0,0
128,129,0,3,0,1,45.0,6.975,0,0,0,0,1
129,130,0,3,0,1,33.0,7.8958,0,0,1,0,0
130,131,0,3,0,1,20.0,7.05,0,0,0,0,1
131,132,0,3,0,0,47.0,14.5,0,1,0,0,1
132,133,1,2,0,0,29.0,26.0,0,1,0,0,1
133,134,0,2,0,1,25.0,13.0,0,0,0,0,1
134,135,0,2,0,1,23.0,15.0458,0,0,1,0,0
135,136,1,1,0,0,19.0,26.2833,1,2,0,0,1
136,137,0,1,0,1,37.0,53.1,1,1,0,0,1
137,138,0,3,0,1,16.0,9.2167,0,0,0,0,1
138,139,0,1,0,1,24.0,79.2,1,0,1,0,0
139,140,0,3,0,0,30.0,15.2458,0,2,1,0,0
140,141,1,3,0,0,22.0,7.75,0,0,0,0,1
141,142,1,3,0,0,24.0,15.85,0,1,0,0,1
142,143,0,3,0,1,19.0,6.75,0,0,0,1,0
143,144,0,2,0,1,18.0,11.5,0,0,0,0,1
144,145,0,2,0,1,19.0,36.75,0,2,0,0,1
145,146,1,3,0,1,27.0,7.7958,0,0,0,0,1
146,147,0,3,0,0,9.0,34.375,0,4,0,0,1
147,148,0,2,0,1,36.5,26.0,1,2,0,0,1
148,149,0,2,1,1,42.0,13.0,0,0,0,0,1
149,150,0,2,1,1,51.0,12.525,0,0,0,0,1
150,151,1,1,0,0,22.0,66.6,1,1,0,0,1
151,152,0,3,0,1,55.5,8.05,0,0,0,0,1
152,153,0,3,0,1,40.5,14.5,0,2,0,0,1
153,154,0,3,0,1,30.0,7.3125,0,0,0,0,1
154,155,0,1,0,1,51.0,61.3792,0,1,1,0,0
155,156,1,3,0,0,16.0,7.7333,0,0,0,1,0
156,157,0,3,0,1,30.0,8.05,0,0,0,0,1
157,158,0,3,0,1,30.0,8.6625,0,0,0,0,1
158,159,0,3,1,1,30.0,69.55,0,10,0,0,1
159,160,0,3,0,1,44.0,16.1,0,1,0,0,1
160,161,1,2,0,0,40.0,15.75,0,0,0,0,1
161,162,0,3,0,1,26.0,7.775,0,0,0,0,1
162,163,0,3,0,1,17.0,8.6625,0,0,0,0,1
163,164,0,3,1,1,1.0,39.6875,0,5,0,0,1
164,165,1,3,1,1,9.0,20.525,0,2,0,0,1
165,166,1,1,0,0,30.0,55.0,1,1,0,0,1
166,167,0,3,0,0,45.0,27.9,0,5,0,0,1
167,168,0,1,0,1,30.0,25.925,0,0,0,0,1
168,169,0,3,0,1,28.0,56.4958,0,0,0,0,1
169,170,0,1,0,1,61.0,33.5,1,0,0,0,1
170,171,0,3,1,1,4.0,29.125,0,5,0,1,0
171,172,1,3,0,0,1.0,11.1333,0,2,0,0,1
172,173,0,3,0,1,21.0,7.925,0,0,0,0,1
173,174,0,1,0,1,56.0,30.6958,1,0,1,0,0
174,175,0,3,0,1,18.0,7.8542,0,2,0,0,1
175,176,0,3,1,1,30.0,25.4667,0,4,0,0,1
176,177,0,1,0,0,50.0,28.7125,1,0,1,0,0
177,178,0,2,0,1,30.0,13.0,0,0,0,0,1
178,179,0,3,0,1,36.0,0.0,0,0,0,0,1
179,180,0,3,0,0,30.0,69.55,0,10,0,0,1
180,181,0,2,0,1,30.0,15.05,0,0,1,0,0
181,182,0,3,1,1,9.0,31.3875,0,6,0,0,1
182,183,1,2,1,1,1.0,39.0,1,3,0,0,1
183,184,1,3,0,0,4.0,22.025,0,2,0,0,1
184,185,0,1,0,1,30.0,50.0,1,0,0,0,1
185,186,1,3,0,0,30.0,15.5,0,1,0,1,0
186,187,1,1,0,1,45.0,26.55,0,0,0,0,1
187,188,0,3,0,1,40.0,15.5,0,2,0,1,0
188,189,0,3,0,1,36.0,7.8958,0,0,0,0,1
189,190,1,2,0,0,32.0,13.0,0,0,0,0,1
190,191,0,2,0,1,19.0,13.0,0,0,0,0,1
191,192,1,3,0,0,19.0,7.8542,0,1,0,0,1
192,193,1,2,1,1,3.0,26.0,1,2,0,0,1
193,194,1,1,0,0,44.0,27.7208,1,0,1,0,0
194,195,1,1,0,0,58.0,146.5208,1,0,1,0,0
195,196,0,3,0,1,30.0,7.75,0,0,0,1,0
196,197,0,3,0,1,42.0,8.4042,0,1,0,0,1
197,198,1,3,0,0,30.0,7.75,0,0,0,1,0
198,199,0,2,0,0,24.0,13.0,0,0,0,0,1
199,200,0,3,0,1,28.0,9.5,0,0,0,0,1
200,201,0,3,0,1,30.0,69.55,0,10,0,0,1
201,202,0,3,0,1,34.0,6.4958,0,0,0,0,1
202,203,0,3,0,1,45.5,7.225,0,0,1,0,0
203,204,1,3,0,1,18.0,8.05,0,0,0,0,1
204,205,0,3,0,0,2.0,10.4625,1,1,0,0,1
205,206,0,3,0,1,32.0,15.85,0,1,0,0,1
206,207,1,3,0,1,26.0,18.7875,0,0,1,0,0
207,208,1,3,0,0,16.0,7.75,0,0,0,1,0
208,209,1,1,0,1,40.0,31.0,1,0,1,0,0
209,210,0,3,0,1,24.0,7.05,0,0,0,0,1
210,211,1,2,0,0,35.0,21.0,0,0,0,0,1
211,212,0,3,0,1,22.0,7.25,0,0,0,0,1
212,213,0,2,0,1,30.0,13.0,0,0,0,0,1
213,214,0,3,0,1,30.0,7.75,0,1,0,1,0
214,215,1,1,0,0,31.0,113.275,1,1,1,0,0
215,216,1,3,0,0,27.0,7.925,0,0,0,0,1
216,217,0,2,0,1,42.0,27.0,0,1,0,0,1
217,218,1,1,0,0,32.0,76.2917,1,0,1,0,0
218,219,0,2,0,1,30.0,10.5,0,0,0,0,1
219,220,1,3,0,1,16.0,8.05,0,0,0,0,1
220,221,0,2,0,1,27.0,13.0,0,0,0,0,1
221,222,0,3,0,1,51.0,8.05,0,0,0,0,1
222,223,0,3,0,1,30.0,7.8958,0,0,0,0,1
223,224,1,1,0,1,38.0,90.0,1,1,0,0,1
224,225,0,3,0,1,22.0,9.35,0,0,0,0,1
225,226,1,2,0,1,19.0,10.5,0,0,0,0,1
226,227,0,3,0,1,20.5,7.25,0,0,0,0,1
227,228,0,2,0,1,18.0,13.0,0,0,0,0,1
228,229,0,3,0,0,30.0,25.4667,0,4,0,0,1
229,230,1,1,0,0,35.0,83.475,1,1,0,0,1
230,231,0,3,0,1,29.0,7.775,0,0,0,0,1
231,232,0,2,0,1,59.0,13.5,0,0,0,0,1
232,233,1,3,0,0,5.0,31.3875,0,6,0,0,1
233,234,0,2,0,1,24.0,10.5,0,0,0,0,1
234,235,0,3,0,0,30.0,7.55,0,0,0,0,1
235,236,0,2,0,1,44.0,26.0,0,1,0,0,1
236,237,1,2,0,0,8.0,26.25,0,2,0,0,1
237,238,0,2,0,1,19.0,10.5,0,0,0,0,1
238,239,0,2,0,1,33.0,12.275,0,0,0,0,1
239,240,0,3,0,0,30.0,14.4542,0,1,1,0,0
240,241,1,3,0,0,30.0,15.5,0,1,0,1,0
241,242,0,2,0,1,29.0,10.5,0,0,0,0,1
242,243,0,3,0,1,22.0,7.125,0,0,0,0,1
243,244,0,3,0,1,30.0,7.225,0,0,1,0,0
244,245,0,1,1,1,44.0,90.0,1,2,0,1,0
245,246,0,3,0,0,25.0,7.775,0,0,0,0,1
246,247,1,2,0,0,24.0,14.5,0,2,0,0,1
247,248,1,1,0,1,37.0,52.5542,1,2,0,0,1
248,249,0,2,1,1,54.0,26.0,0,1,0,0,1
249,250,0,3,0,1,30.0,7.25,0,0,0,0,1
250,251,0,3,0,0,29.0,10.4625,1,2,0,0,1
251,252,0,1,0,1,62.0,26.55,1,0,0,0,1
252,253,0,3,0,1,30.0,16.1,0,1,0,0,1
253,254,0,3,0,0,41.0,20.2125,0,2,0,0,1
254,255,1,3,0,0,29.0,15.2458,0,2,1,0,0
255,256,1,1,0,0,30.0,79.2,0,0,1,0,0
256,257,1,1,0,0,30.0,86.5,1,0,0,0,1
257,258,1,1,0,0,35.0,512.3292,0,0,1,0,0
258,259,1,2,0,0,50.0,26.0,0,1,0,0,1
259,260,0,3,0,1,30.0,7.75,0,0,0,1,0
260,261,1,3,1,1,3.0,31.3875,0,6,0,0,1
261,262,0,1,0,1,52.0,79.65,1,2,0,0,1
262,263,0,1,0,1,40.0,0.0,1,0,0,0,1
263,264,0,3,0,0,30.0,7.75,0,0,0,1,0
264,265,0,2,0,1,36.0,10.5,0,0,0,0,1
265,266,0,3,0,1,16.0,39.6875,0,5,0,0,1
266,267,1,3,0,1,25.0,7.775,0,1,0,0,1
267,268,1,1,0,0,58.0,153.4625,1,1,0,0,1
268,269,1,1,0,0,35.0,135.6333,1,0,0,0,1
269,270,0,1,0,1,30.0,31.0,0,0,0,0,1
270,271,1,3,0,1,25.0,0.0,0,0,0,0,1
271,272,1,2,0,0,41.0,19.5,0,1,0,0,1
272,273,0,1,0,1,37.0,29.7,1,1,1,0,0
273,274,1,3,0,0,30.0,7.75,0,0,0,1,0
274,275,1,1,0,0,63.0,77.9583,1,1,0,0,1
275,276,0,3,0,0,45.0,7.75,0,0,0,0,1
276,277,0,2,0,1,30.0,0.0,0,0,0,0,1
277,278,0,3,1,1,7.0,29.125,0,5,0,1,0
278,279,1,3,0,0,35.0,20.25,0,2,0,0,1
279,280,0,3,0,1,65.0,7.75,0,0,0,1,0
280,281,0,3,0,1,28.0,7.8542,0,0,0,0,1
281,282,0,3,0,1,16.0,9.5,0,0,0,0,1
282,283,1,3,0,1,19.0,8.05,0,0,0,0,1
283,284,0,1,0,1,30.0,26.0,1,0,0,0,1
284,285,0,3,0,1,33.0,8.6625,0,0,1,0,0
285,286,1,3,0,1,30.0,9.5,0,0,0,0,1
286,287,0,3,0,1,22.0,7.8958,0,0,0,0,1
287,288,1,2,0,1,42.0,13.0,0,0,0,0,1
288,289,1,3,0,0,22.0,7.75,0,0,0,1,0
289,290,1,1,0,0,26.0,78.85,0,0,0,0,1
290,291,1,1,0,0,19.0,91.0792,1,1,1,0,0
291,292,0,2,0,1,36.0,12.875,1,0,1,0,0
292,293,0,3,0,0,24.0,8.85,0,0,0,0,1
293,294,0,3,0,1,24.0,7.8958,0,0,0,0,1
294,295,0,1,0,1,30.0,27.7208,0,0,1,0,0
295,296,0,3,0,1,23.5,7.2292,0,0,1,0,0
296,297,0,1,0,0,2.0,151.55,1,3,0,0,1
297,298,1,1,0,1,30.0,30.5,1,0,0,0,1
298,299,1,1,0,0,50.0,247.5208,1,1,1,0,0
299,300,1,3,0,0,30.0,7.75,0,0,0,1,0
300,301,1,3,0,1,30.0,23.25,0,2,0,1,0
301,302,0,3,0,1,19.0,0.0,0,0,0,0,1
302,303,1,2,0,0,30.0,12.35,1,0,0,1,0
303,304,0,3,0,1,30.0,8.05,0,0,0,0,1
304,305,1,1,1,1,0.92,151.55,1,3,0,0,1
305,306,1,1,0,0,30.0,110.8833,0,0,1,0,0
306,307,1,1,0,0,17.0,108.9,1,1,1,0,0
307,308,0,2,0,1,30.0,24.0,0,1,1,0,0
308,309,1,1,0,0,30.0,56.9292,1,0,1,0,0
309,310,1,1,0,0,24.0,83.1583,1,0,1,0,0
310,311,1,1,0,0,18.0,262.375,1,4,1,0,0
311,312,0,2,0,0,26.0,26.0,0,2,0,0,1
312,313,0,3,0,1,28.0,7.8958,0,0,0,0,1
313,314,0,2,0,1,43.0,26.25,0,2,0,0,1
314,315,1,3,0,0,26.0,7.8542,0,0,0,0,1
315,316,1,2,0,0,24.0,26.0,0,1,0,0,1
316,317,0,2,1,1,54.0,14.0,0,0,0,0,1
317,318,1,1,0,0,31.0,164.8667,1,2,0,0,1
318,319,1,1,0,0,40.0,134.5,1,2,1,0,0
319,320,0,3,0,1,22.0,7.25,0,0,0,0,1
320,321,0,3,0,1,27.0,7.8958,0,0,0,0,1
321,322,1,2,0,0,30.0,12.35,0,0,0,1,0
322,323,1,2,0,0,22.0,29.0,0,2,0,0,1
323,324,0,3,0,1,30.0,69.55,0,10,0,0,1
324,325,1,1,0,0,36.0,135.6333,1,0,1,0,0
325,326,0,3,0,1,61.0,6.2375,0,0,0,0,1
326,327,1,2,0,0,36.0,13.0,1,0,0,0,1
327,328,1,3,0,0,31.0,20.525,0,2,0,0,1
328,329,1,1,0,0,16.0,57.9792,1,1,1,0,0
329,330,1,3,0,0,30.0,23.25,0,2,0,1,0
330,331,0,1,0,1,45.5,28.5,1,0,0,0,1
331,332,0,1,0,1,38.0,153.4625,1,1,0,0,1
332,333,0,3,0,1,16.0,18.0,0,2,0,0,1
333,334,1,1,0,0,30.0,133.65,0,1,0,0,1
334,335,0,3,0,1,30.0,7.8958,0,0,0,0,1
335,336,0,1,0,1,29.0,66.6,1,1,0,0,1
336,337,1,1,0,0,41.0,134.5,1,0,1,0,0
337,338,1,3,0,1,45.0,8.05,0,0,0,0,1
338,339,0,1,0,1,45.0,35.5,1,0,0,0,1
339,340,1,2,1,1,2.0,26.0,1,2,0,0,1
340,341,1,1,0,0,24.0,263.0,1,5,0,0,1
341,342,0,2,0,1,28.0,13.0,0,0,0,0,1
342,343,0,2,0,1,25.0,13.0,0,0,0,0,1
343,344,0,2,0,1,36.0,13.0,0,0,0,0,1
344,345,1,2,0,0,24.0,13.0,1,0,0,0,1
345,346,1,2,0,0,40.0,13.0,0,0,0,0,1
346,347,1,3,0,0,30.0,16.1,0,1,0,0,1
347,348,1,3,1,1,3.0,15.9,0,2,0,0,1
348,349,0,3,0,1,42.0,8.6625,0,0,0,0,1
349,350,0,3,0,1,23.0,9.225,0,0,0,0,1
350,351,0,1,0,1,30.0,35.0,1,0,0,0,1
351,352,0,3,0,1,15.0,7.2292,0,2,1,0,0
352,353,0,3,0,1,25.0,17.8,0,1,0,0,1
353,354,0,3,0,1,30.0,7.225,0,0,1,0,0
354,355,0,3,0,1,28.0,9.5,0,0,0,0,1
355,356,1,1,0,0,22.0,55.0,1,1,0,0,1
356,357,0,2,0,0,38.0,13.0,0,0,0,0,1
357,358,1,3,0,0,30.0,7.8792,0,0,0,1,0
358,359,1,3,0,0,30.0,7.8792,0,0,0,1,0
359,360,0,3,0,1,40.0,27.9,0,5,0,0,1
360,361,0,2,0,1,29.0,27.7208,0,1,1,0,0
361,362,0,3,0,0,45.0,14.4542,0,1,1,0,0
362,363,0,3,0,1,35.0,7.05,0,0,0,0,1
363,364,0,3,0,1,30.0,15.5,0,1,0,1,0
364,365,0,3,0,1,30.0,7.25,0,0,0,0,1
365,366,1,1,0,0,60.0,75.25,1,1,1,0,0
366,367,1,3,0,0,30.0,7.2292,0,0,1,0,0
367,368,1,3,0,0,30.0,7.75,0,0,0,1,0
368,369,1,1,1,0,24.0,69.3,1,0,1,0,0
369,370,1,1,0,1,25.0,55.4417,1,1,1,0,0
370,371,0,3,0,1,18.0,6.4958,0,1,0,0,1
371,372,0,3,0,1,19.0,8.05,0,0,0,0,1
372,373,0,1,0,1,22.0,135.6333,0,0,1,0,0
373,374,0,3,0,0,3.0,21.075,0,4,0,0,1
374,375,1,1,0,0,30.0,82.1708,0,1,1,0,0
375,376,1,3,0,0,22.0,7.25,0,0,0,0,1
376,377,0,1,0,1,27.0,211.5,1,2,1,0,0
377,378,0,3,0,1,20.0,4.0125,0,0,1,0,0
378,379,0,3,0,1,19.0,7.775,0,0,0,0,1
379,380,1,1,0,0,42.0,227.525,0,0,1,0,0
380,381,1,3,0,0,1.0,15.7417,0,2,1,0,0
381,382,0,3,0,1,32.0,7.925,0,0,0,0,1
382,383,1,1,0,0,35.0,52.0,0,1,0,0,1
383,384,0,3,0,1,30.0,7.8958,0,0,0,0,1
384,385,0,2,0,1,18.0,73.5,0,0,0,0,1
385,386,0,3,1,1,1.0,46.9,0,7,0,0,1
386,387,1,2,0,0,36.0,13.0,0,0,0,0,1
387,388,0,3,0,1,30.0,7.7292,0,0,0,1,0
388,389,1,2,0,0,17.0,12.0,0,0,1,0,0
389,390,1,1,0,1,36.0,120.0,1,3,0,0,1
390,391,1,3,0,1,21.0,7.7958,0,0,0,0,1
391,392,0,3,0,1,28.0,7.925,0,2,0,0,1
392,393,1,1,0,0,23.0,113.275,1,1,1,0,0
393,394,1,3,0,0,24.0,16.7,1,2,0,0,1
394,395,0,3,0,1,22.0,7.7958,0,0,0,0,1
395,396,0,3,0,0,31.0,7.8542,0,0,0,0,1
396,397,0,2,0,1,46.0,26.0,0,0,0,0,1
397,398,0,2,1,1,23.0,10.5,0,0,0,0,1
398,399,1,2,0,0,28.0,12.65,0,0,0,0,1
399,400,1,3,0,1,39.0,7.925,0,0,0,0,1
400,401,0,3,0,1,26.0,8.05,0,0,0,0,1
401,402,0,3,0,0,21.0,9.825,0,1,0,0,1
402,403,0,3,0,1,28.0,15.85,0,1,0,0,1
403,404,0,3,0,0,20.0,8.6625,0,0,0,0,1
404,405,0,2,0,1,34.0,21.0,0,1,0,0,1
405,406,0,3,0,1,51.0,7.75,0,0,0,0,1
406,407,1,2,1,1,3.0,18.75,0,2,0,0,1
407,408,0,3,0,1,21.0,7.775,0,0,0,0,1
408,409,0,3,0,0,30.0,25.4667,0,4,0,0,1
409,410,0,3,0,1,30.0,7.8958,0,0,0,0,1
410,411,0,3,0,1,30.0,6.8583,0,0,0,1,0
411,412,1,1,0,0,33.0,90.0,1,1,0,1,0
412,413,0,2,0,1,30.0,0.0,0,0,0,0,1
413,414,1,3,0,1,44.0,7.925,0,0,0,0,1
414,415,0,3,0,0,30.0,8.05,0,0,0,0,1
415,416,1,2,0,0,34.0,32.5,0,2,0,0,1
416,417,1,2,0,0,18.0,13.0,0,2,0,0,1
417,418,0,2,0,1,30.0,13.0,0,0,0,0,1
418,419,0,3,0,0,10.0,24.15,0,2,0,0,1
419,420,0,3,0,1,30.0,7.8958,0,0,1,0,0
420,421,0,3,0,1,21.0,7.7333,0,0,0,1,0
421,422,0,3,0,1,29.0,7.875,0,0,0,0,1
422,423,0,3,0,0,28.0,14.4,0,2,0,0,1
423,424,0,3,0,1,18.0,20.2125,0,2,0,0,1
424,425,0,3,0,1,30.0,7.25,0,0,0,0,1
425,426,1,2,0,0,28.0,26.0,0,1,0,0,1
426,427,1,2,0,0,19.0,26.0,0,0,0,0,1
427,428,0,3,0,1,30.0,7.75,0,0,0,1,0
428,429,1,3,0,1,32.0,8.05,1,0,0,0,1
429,430,1,1,0,1,28.0,26.55,1,0,0,0,1
430,431,1,3,0,0,30.0,16.1,0,1,0,0,1
431,432,1,2,0,0,42.0,26.0,0,1,0,0,1
432,433,0,3,0,1,17.0,7.125,0,0,0,0,1
433,434,0,1,0,1,50.0,55.9,1,1,0,0,1
434,435,1,1,0,0,14.0,120.0,1,3,0,0,1
435,436,0,3,0,0,21.0,34.375,0,4,0,0,1
436,437,1,2,0,0,24.0,18.75,0,5,0,0,1
437,438,0,1,0,1,64.0,263.0,1,5,0,0,1
438,439,0,2,0,1,31.0,10.5,0,0,0,0,1
439,440,1,2,0,0,45.0,26.25,0,2,0,0,1
440,441,0,3,0,1,20.0,9.5,0,0,0,0,1
441,442,0,3,0,1,25.0,7.775,0,1,0,0,1
442,443,1,2,1,0,28.0,13.0,0,0,0,0,1
443,444,1,3,0,1,30.0,8.1125,0,0,0,0,1
444,445,1,1,1,1,4.0,81.8583,1,2,0,0,1
445,446,1,2,0,0,13.0,19.5,0,1,0,0,1
446,447,1,1,0,1,34.0,26.55,0,0,0,0,1
447,448,1,3,0,0,5.0,19.2583,0,3,1,0,0
448,449,1,1,1,1,52.0,30.5,1,0,0,0,1
449,450,0,2,0,1,36.0,27.75,0,3,0,0,1
450,451,0,3,0,1,30.0,19.9667,0,1,0,0,1
451,452,0,1,0,1,30.0,27.75,1,0,1,0,0
452,453,1,1,0,1,49.0,89.1042,1,1,1,0,0
453,454,0,3,0,1,30.0,8.05,0,0,0,0,1
454,455,1,3,0,1,29.0,7.8958,0,0,1,0,0
455,456,0,1,0,1,65.0,26.55,1,0,0,0,1
456,457,1,1,0,0,30.0,51.8625,1,1,0,0,1
457,458,1,2,0,0,50.0,10.5,0,0,0,0,1
